DCS-ID	input	output
121309	jajYire ftavastasmAdftuByo hyArtavA aBavan	
12181	iyaM tu paramA mudrA jarAmftyuvinASinI	
122008	catvAri niyutAni syurvarzARi tu kaliryugam	
122024	manvantarasya kAlastu yugEH saha prakIrtitaH	
122101	lakzaREScEva jAyante SarIrasTEramAnuzEH	
122408	adrohaScApyaloBaSca damo BUtadayA SamaH	
122692	manasA karmaRA vAcA vArttAH siDyanti vA na vA	
123091	uktavAMSca naravyAGro nEtad evaM Bavizyati	
123650	ahaM tu prezito rAjan kOraveRa mahAtmanA	
123955	uparyupari Sakrasya lokA divyaguRAnvitAH	
124018	vESampAyana uvAca	
124509	arDacandreRa bARena vivyADorasi DarmarAw	
124549	prARaprepsur upADAvad vanaM yena narADamaH	
124560	anAmizam idaM karma kaTaM vA manyate BavAn	
124602	anuyAya mahAbAhuH Palguno vAkyam abravIt	
124708	kimarTaM putraM BUyastvaM niyamaM krUramicCasi	
125433	aBigacCAva sugrIvaM SElasTaM haripuMgavam	
126705	putrA me bahavo devi BaveyuH kulaBAvanAH	
126742	rAjovAca	
127682	nAtmAnam anuSocAmi yaTAhaM pitaraM SuBe	
128183	mantragrAmo balaM tasya jYAsye nAticirAd iva	
128802	SrAdDaM mftaM kaTaM ca syAt kaTaM yajYo mfto Bavet	
128876	vESampAyana uvAca	
129721	anyaTA GorasaMsArabanDahetU janasya tO	
13014	yugAnurUpaM SrIvizRoH sevayA mokzasADanam	
13019	Otpattikena yogena SAntAH SamadfSo matAH	
131446	asfjaH SlezmaRaS cApi yaH prasAdaH paro mataH	
132459	yasya vaMSo nalo vApi tAlo vorasi jAyate	
132814	ukte samAhite garBAvetO DArayatastadA	
133989	dvijihvASca kftAH sarpA garuqena mahAtmanA	
134054	suvarRe galite nAgaM prakzipet zoqaSAMSakam	
134366	yajYe vA BujagAstasmiYSataSo 'Ta sahasraSaH	
134429	brahmovAca	
134650	yasya vaDyaH sa nAdyApi jAtastriBuvane pumAn	
135673	SaMkara uvAca	
135775	brUhi tvaM kfSa tattvena paSya me tapaso balam	
135845	kftAtmanastvayA tAta vipreReva pratigrahAt	
13600	vizayAharaRaM vipra caturTaH parikIrtitaH	
136012	sUta uvAca	
136018	amAtyAn suhfdaScEva provAca sa narADipaH	
137000	kiM sUta tezAM viprARAM mantragrAmo manIziRAm	
137411	triBir varzEr labDakAmaH kfzRadvEpAyano muniH	
137699	nAmnA vasur iti KyAtaM manuputraM mahISvaram	
137839	iha puRyakfto yAnti svargalokaM na saMSayaH	
138036	rahasyaM KalvidaM rAjan devAnAm iti naH Srutam	
138147	taM BuvaH SoDanAyendra uvAca puruzottamam	
138173	marIcir atryaNgirasO pulastyaH pulahaH kratuH	
138499	pOravo nAma rAjarziH sa baBUva narezviha	
138708	prativinDyaH sutasomaH SrutakIrtistaTAparaH	
139125	rakzAM tu me cintaya devarAja yaTA tvadarTaM rakzitAhaM careyam	
139412	SakuntalA ca tacCrutvA paraM harzam avApa sA	
140290	vESaMpAyana uvAca	
140383	yaTA bahumataH putrastaTA manyatu mAM BavAn	
141392	SreyAn putraguRopetaH sa putro netaro vfTA	
14165	biqAlasya varAhasya kAkaBekasya ca tvacaH	
141808	yayAtir uvAca	
14181	pizwvA tena liptagAtro yogaSaktyA balizWayA	
141923	tezAM praTitavfttAnAM rAjYAM vijYAnaSAlinAm	
142134	na Sakyam anyaTA kartuM yad uktaM brahmavAdinA	
142238	pInaskanDo mahAbAhur mattavAraRavikramaH	
142579	vESaMpAyana uvAca	
142738	na cApyahaM vfTA BUyo dArAn kartum ihotsahe	
146276	arDakalkena lepyo'Ta pAdakalkena vE punaH	
147212	prAhuH kzatraM balajyezWaM balajyezWaM sutaM vfRu	
148016	DarmaM cEva puraskftya SrezWAM matim akurvata	
148079	yasya kIrtir mahezvAsAn sarvAn aBiBavizyati	
148178	kroSantaH pARqavAH sarve BIzmo vidura eva ca	
148576	yAvat pibati bAlo 'yaM tAvad asmE pradIyatAm	
148696	sa BIzmeRa mahABAgastuzwo 'straviduzAM varaH	
148911	evaM vAradvaye kzipte varDate varRakadvayam	
14895	kapAlakuhare jihvA pravizwA viparItagA	
150272	vESaMpAyana uvAca	
150541	aTa tvam api rAjendra rAjavaMSo Bavizyasi	
150670	tasya putro yaTA pARqustaTA DarmaparAyaRaH	
152690	hate'Smavarze tumule jalavarze ca Sozite	
153220	ko hi me BoktukAmasya viGnaM carati durmatiH	
153532	vESaMpAyana uvAca	
153849	tadA tava vaSaM BUya AgantAsmyASu BArata	
153959	arDaM te BuYjate vIrAH saha mAtrA paraMtapAH	
154069	kANkzamARAM ratiM cEva suKAni ca bahUnyapi	
154596	praBAvAtpadmanABasya svapataH sAgarAmBasi	
154765	kowiBAgena tenEva tAmraM Bavati kAMcanam	
155476	dUrasTA vA samIpasTAH svargasTA vApi pARqavAH	
155515	prapedire BayatrastA BImasADvasakAtarAH	
156416	vESaMpAyana uvAca	
156825	arjuna uvAca	
156861	ityuktvA pARqavaH krudDo ganDarvAya mumoca ha	
156953	na kAraRasya sadfSaM kAryam ityupapadyate	
157618	SabdaM prati tadodBUto mArutaSCidrasaMBavaH	
157930	sadBUtasya kriyA nAsti kartA ca syAd akarmakaH	
158107	vAmadeva namastuByaM jyezWAya varadAya ca	
158241	AjagAma mahAtejA yogAcAryo mahAyaSAH	
158642	vinADipatyaM samatAM gate 'nte brahmaRo mama	
158703	tadApraBfti mAmAhurhaMsaM haMso virAqiti	
159147	smaratA nihatAn banDUn AdattAni na saMSayaH	
159297	te ca sarve mudA yuktA modante sahitAH surEH	
160055	alpasOKyaM bahukleSaM jarASokasamanvitam	
160885	dAmodaro BrAtaram ugravIryaM halAyuDaM vAkyam idaM baBAze	
162056	kAyamAtraM ca meDAvI marmARi ca mahAkapiH	
162397	vyAsaH	
162541	SvetaBAnur himatanur jyotizAm aDipaH SaSI	
162573	sa nagAgre ca tAM laNkAM dadarSa pavanAtmajaH	
163140	parArDyAstaraRopetAM rakzo'DipanizevitAm	
163389	yAvat tvacalatAM sarve prApnuvanti narADipAH	
163786	viBUzayantIm iva ca svaSriyA Bavanottamam	
163994	na ca te vyasanEr yoktuM SakyA dizwakftA hi te	
164022	vikrameRa mahI prAptA Baratena mahAtmanA	
165028	etO hi puruzavyAGrAvezAM priyahite ratO	
165482	dUzaRaSca mahAtejA rAmeRa viditAtmanA	
165688	AstAm avaDyAvanyezAM trizu lokezu viSrutO	
165854	dIptAm iva diSaM kAle pUjAm apahftAm iva	
166089	parivArya daSagrIvaM viviSustad gfhottamam	
166361	acireRa tu laNkeyaM SmaSAnasadfSI Bavet	
166496	tatra devo mahAdevastatrAgnir vAyunA saha	
166771	evaM tO sahitO BUtvA sarvArTezvekaniScayO	
166866	vESaMpAyana uvAca	
167030	lakzmaRaSca mahAtejAH sumitrAnandavarDanaH	
167907	AnukUlyena DarmAtmA tyaktvA suKam anuttamam	
168459	cintayAnaM tu kOnteyaM jYAtvA SacyA SacIpatiH	
168630	sAgare mArutodDUtA velAm iva mahormayaH	
169298	caturyujAm upetAnAM sUtEH kuSalasaMmatEH	
169330	BUzaRAnAM tu muKyAnAM SataBAraM dadO Danam	
16949	tadvisfzwaH sa puruzo loke brahmeti kIrtyate	
169957	ye 'SfRvan kUjitaM tatra tezAM vE vyaTitaM manaH	
170869	gacCanti saha patnIBiH sutEr api ca SASvatIm	
17162	deSaDarmAYjAtiDarmAn kulaDarmAMS ca SASvatAn	
171803	etacCrutvA mayA tasya mEnAkasya mahAtmanaH	
173177	eko'Diko nyUnataro dvitIya evaM yame'pyaByaDiko viSezaH	
174561	tatra SlokAH	
175294	sasyaM BUte dayA dAnaM balayo devatArcanam	
175773	apaSyaMste giriSrezWaM sahyaM drumalatAyutam	
175949	reKA syAdDemavarRA ca tatpiRqI ca viDIyate	
176293	ramBorvaSyaTa menakA	
176531	mayena dAnavendreRa tvadBayAt saKyam icCatA	
17689	te ca svA cEva rAjYaS ca tAS ca svA cAgrajanmanaH	
177020	sa tvaM BrAtAsi me rAjan brUhi mAM yad yad icCasi	
177071	pUrvasyAM pAradaH Sveto nAnAvarRErgadApahaH	
177590	sakfd eva prapannAya tavAsmIti ca yAcate	
177899	pragfhItAH prakASante sUryasyeva marIcayaH	
179125	ruDirodA mahAvegA nadyastatra prasusruvuH	
180360	muKArDam anyaTA varRo muKArDe'rizwamucyate	
180556	SoRitOGamahAtoyAM yamasAgaragAminIm	
180743	rAvaRasya vacaH SrutvA vAyusUnur vaco 'bravIt	
181776	ekena bahavo BagnA yaSo nASaM gamizyati	
182059	sTityutpattivinASezu BUtAnAmeza kAraRam	
182403	tasmin pravftte tumule vimarde prahfzyamARezu valImuKezu	
182765	sirANgavyApake rakte SfNgAlAbU tvaci sTite	
183373	evaM kAlaprakarzeRa mukto nAqInibanDanAt	
183507	sarvEr duzwEH sarvaliNgamaBiGAtAcca duzyati	
184797	bAROGavitatAH sarvA diSaSca vidiSastaTA	
185231	rAvaRistu diSaH sarvA raTenAtiraTaH patan	
18555	AvAso DarmatfptAnAM sidDikzetraM hi tat param	
18636	kzIripattrabilvapattrahomena SAntir Bavati	
187001	dalanti dantavalkAni yadA SarkarayA saha	
187627	anena viDinA droRam upayujyAnnamIritam	
187872	anenEva viDAnena vfdDI vAtakaPAtmike	
188685	pORqrakekzurasEr ArdraM marditaM sEnDavAnvitam	
189070	asADyatA vikArARAM syAdezAmanuvAsanAt	
189645	maDutEle same syAtAM kvATaScEraRqamUlajaH	
189729	kruDyataH kupitaM pittaM kuryAttAMstAnupadravAn	
190151	nAmnA dUzIvizAristu na cAnyatrApi vAryate	
190864	kupitasya munestasya lalAwAt svedabindavaH	
191159	SAlyAdeH sarzapAntasya viviDasyAsya BAgaSaH	
19162	saptame divase strI vA puruzo vA vaSIBavati svaM ca dadAti	
194563	upacArezu sarvezu dadyAdAcamanaM priye	
195950	yuvA rasAyane dakzo vfdDaH syAddehalohayoH	
19607	asapiRqezu sarvezu pretaSudDiM niboData	
196347	praSAnte kurutas tasmin SItam ante ca tAvapi	
197138	caturTo golakAkAraH paYcame dahanapraBaH	
198260	vAksidDirdivyadfzwiSca tripalena Bavetpriye	
198404	SatADiko Bavet kAntastvOzaDAnAM rasAyanam	
19870	dehAd utkramaRaM cAsmAt punar garBe ca samBavam	
199970	lohaM kramavivfdDAni kuryAdetAni mAtrayA	
200535	palASabIjakaM tElaM GftaM maDu SivAmbu ca	
201734	evaM tElopayogena mAsAjjYAnI BavennaraH	
201809	BUgfhe vA nivAte vA pradeSe ca vasansuKI	
201997	PalaM tyaktvA pibetkzIraM dIpte'gnO kzIraBojanam	
203922	rakzAM baDnIta tAM spfzwvA japedazwottaraM Satam	
2041	vAsaScaryA japaDyAnaM sadArudrasmftistaTA	
204423	saktukawvamlalavaRarUkzAyAsAtapAMstyajet	
204752	etezAM paYcaBUtAnAmakzaraM kAraRaM param	
205186	vyAlAricorakzudrApasmAraBUtagrahApaham	
205470	pibedguqena miSraM vA lihyAllehAn pfTak pfTak	
205907	mfto BavedrasaH so'yaM sarvarogaharo Bavet	
206275	pAtAlayantre tattElaM gfhRIyAttAmraBAjane	
207180	milate tatkzaRAd vajraM hemnA tu salilaM yaTA	
207665	pittezu sidDaM tElaM ca pAnAByaNgezu pUjitam	
208057	vyaktA noktAstu ye hyarTA lInA ye cApyanirmalAH	
208567	tannAgaM palamekaM tu SulbacUrRapalAzwakam	
209222	kurute dantadArQyaM ca dfSO gfDradfSAviva	
209338	uktadravye taddravatAqanametadDi so'Bizekastu	
20995	samBUya svAni karmARi kurvadBir iha mAnavEH	
209969	vaMSAnucaritaM cEva purARaM paYcalakzaRam	
210020	vistaraM narmadAyAstu tIrTAnAM munisattama	
211047	evaM jYAtvA tu viDinA vartitavyaM dvijAtiBiH	
211769	yattanmuhUrtAdiha nAmarUpaM tAvat prapaSyAmi jagattaTEva	
212113	ezA vE vastrasamBUtA narmadAtoyasamBavA	
212240	tatkaTaM tu BavetpuRyam fzisidDanizevitam	
212333	nArada uvAca	
212431	nArada uvAca	
212543	pOze tu kuNkumaM deyaM mAGe pAtraM tilEr Bftam	
212636	raTaM mahImayaM kftvA Duri tAvaSvinAvuBO	
212743	SumBo qimBaSca rOdraSca prahlAdaScAsurottamaH	
213014	narmadottarakUle tu dArutIrTamanuttamam	
213049	sidDastenEva tannAmnA KyAtaM loke mahacca tat	
213472	tatra loke virudDaM vE kupyante yena vE dvijAH	
213485	kftvA haste kapAlaM tu brahmaRaSca mahAtmanaH	
213542	na tacCreyo 'gnihotreRa nAgnizwomena laByate	
214176	varaM dattvA sa tasyEvaM tatrEvAntaraDIyata	
214345	namaH paNkajanABAya namaH paNkajamAline	
21459	tadDetutvena sarvatra hetUnAm anavasTitiH	
216101	mAsamAnamatra vizamatIvrajvaranimittam anyatrAlpamiti	
217329	agnivfdDaye tu maDvArdrakarasam anupibet	
218631	sa dattvA tumulaM yudDaM pitfvyasyendrajid yuDi	
219925	dIno dInasvarAn sarvAMstAn uvAca niSAcarAn	
220100	nABijagmur mahAGoraM nirdahantaM SarAgninA	
220102	raRe rAmasya dadfSuH karmARyasukarARi ca	
220306	rUkzakfzRAruRasirAtantujAlagavAkzitaH	
220426	pitAmahena prItena devadAnavarAkzasEH	
220718	lavaRakzAratIkzRozRaSAkAmbu svapnajAgaram	
222630	divasayugmamaDaH kftavahninA sa ca BavedaruRaH kamalacCaviH	
224547	na hi me jIvitenArTaH sItayA ca jayena vA	
224676	vezwitAM pUrvakalkena raviGarmeRa Sozayet	
22478	hrasvaM netrOzaDaM yojyaM viSadaM nIlamfttikA	
22646	yA na tyajati nijaruciM nikaze GfzwApi sA smftA jAtyA	
227716	samBavanti na te rogA medo'nilakaPodBavAH	
227844	tezAm asaMBramaM dfzwvA vAjinAM rAvaRastadA	
229158	karaYjapallavAn KAded vAtavarco'nulomanAn	
229514	sakalasuramunIndrEr vanditaM SamBubIjaM sa jayati BavasinDuH pAradaH pArado'yam	
22989	sattvaM rajastama iti prakfterguRAstEr yuktaH paramapuruza eka ihAsya Datte	
229892	rasendrajAraRe proktA viqadravyezu Sasyate	
229996	rAGavasya vacaH SrutvA tvaramARo viBIzaRaH	
23008	nAneva BAti viSvAtmA BUtezu ca taTA pumAn	
23126	ucyate dfzwaH	
231551	muYcet pawvOzaDayutaM sa pibed alpaSo Gftam	
232599	iti	
233027	akzIyamARo milati ca bIjEr badDo Bavatyeva	
234677	svaM svaM kuryAt kramaM miSraM miSradoze ca kAlavit	
235007	tasya vinaSyatyagnirna Kalu krAmati raso Baved vyADiH	
236698	brAhmaRArTe niyuktasya rakzataH sarvatApasAn	
237486	ete maRqUravawakAH prARadAH pARqurogiRAm	
237650	dAhe SvetAsitaM SvetaM nikaze laGu ca vrajet	
237758	catvAriMSatpuwErevaM pacettAraM mftaM Bavet	
238413	punaScApahfte rakte vAtaSlezmajid OzaDam	
238545	himaM kazAyalavaRaM pARqudAhaharaM saram	
239191	muktaH suraripor vIra prAptaSca vijayastvayA	
239322	nErftAnAM sahasrEstu hfzwEH pramuditEH sadA	
239330	SrIBEravaH	
23964	atra paratvAj jyezWaH	
240574	mArjAreRa yaTA sarpAH sarpeRa ca yaTAKavaH	
240905	daSagrIva taTA yatnaM kuruzvAmitavikrama	
241047	pratyuvAca prahastaM taM vAkyaM vAkyaviSAradaH	
241234	saMyogajapraBAveRa tasyApyanye guRAH smftAH	
241806	nidrABiBUte tu tadA kumBakarRe daSAnanaH	
242323	yAvat tvAM na vaDizyanti narAstAvad Bavizyasi	
242851	namucir virocanaScEva tAvuBO maDukEwaBO	
243391	vAksvarasmftimeDAkfdDanyaM brAhmIGftaM smftam	
244062	nAjYAyata tadA yudDe saha kenApyayuDyata	
244911	tattIrTasya praBAveRa sa sadyaH puruzo 'Bavat	
244957	ISvara uvAca	
24507	tuzyanti ca pfTak sarve te manuzyAstaTA taTA	
24547	kAni vA tAni DarmasADanAni yEr harzotpattir mAhAtmyalABaSca Bavati	
246059	svargadaM durvinItAnAM vinItAnAM ca mokzadam	
246985	brahmovAca	
247283	gatA devA brahmalokaM tatra dfzwvA pitAmaham	
247440	SrAdDaM ca brAhmaREstatra yogyEH pARqava mAnavAH	
247657	saMsAre sarvasOKyAnAM nilayAste Bavanti ca	
248194	SrImArkaRqeya uvAca	
248824	evamuktastu deveSaH SaNKacakragadADaraH	
249221	varaM vfRIzva BadraM te yatte manasi rocate	
249423	tasyotpannasya BUtasya tejo rUpasya BArata	
250321	mArkaRqeya uvAca	
250370	agnizwomASvameDAByAM vAjapeyasya yatPalam	
250439	namo namaste deveSa padmagarBa sanAtana	
251355	grAmaBawwo divAkIrtir dEvajYo gardaBo Bavet	
251573	SrImArkaRqeya uvAca	
251815	prajA rarakza yatnena pitA putrAn ivOrasAn	
252042	BaraRaM pAnaM vastraM ca dadAmyetasya rogiRaH	
252044	svaBartfDarmiRIM kopaM mA kuruzvAtiTiM kuru	
252196	devaKAte trayo devA brahmavizRumaheSvarAH	
252728	hastyaSvaraTasampanno mahABogI paraMtapaH	
253036	SrImArkaRqeya uvAca	
253204	sOmyAsOmyEH sadA rUpEH sfjatyavati yA jagat	
253388	yatra sidDiM parAM prAptaH somo rAjA surottamaH	
253823	nArAyaRa uvAca	
253830	tamajaM sarvaBUteSaM jAnIta paramaM padam	
253845	sarvaBUtAni govindAd yadA nAnyAni BUpate	
254064	devatIrTe tu yaddAnaM SradDAyuktena dIyate	
254267	kilEvaM SrUyate gATA purARezu surottama	
255725	proktA dakziRagaNgeti BAratasya yuDizWira	
25620	so 'jyezWaH syAd aBAgaS ca niyantavyaS ca rAjaBiH	
25645	ete rAzwre vartamAnA rAjYaH pracCannataskarAH	
256487	aham apyatra puline SaradindusamapraBe	
257334	rasaratnAkare'pi	
258017	mallaM SarAvapAtram	
258096	viBIzaRam aTovAca rAmo maDurayA girA	
25837	nAbrahma kzatram fDnoti nAkzatraM brahma varDate	
258534	agnimanTasya puzpARi pIluSigruPalAni ca	
258745	pUtiganDiH sTirIBUtaH SarkarA sApyupekzitA	
260032	sarvam etad dvijArTaM me satyam etad bravImi vaH	
26131	taj jIyate'nyena SuBena kena samboDicittaM yadi nAma na syAt	
261327	yaH punaretEH kurute karmASudDEr Baved rasastasya	
261553	na SUdro laBate Darmam ugraM taptaM nararzaBa	
261775	iti	
262273	SrutvA tu BAzitaM vAkyaM mama rAma SuBAkzaram	
262692	sa muhUrtAd upaSrutya devarzir amitapraBaH	
262994	yAvallokA Darizyanti tAvad asya vaSAnugAH	
264237	tacCrutvA rAGavaH prIto maharzermAtulasya ca	
264576	tad vAkyaM lakzmaRenoktaM SrutvA rAma uvAca ha	
265117	yavAmalakacUrRaM ca prayogaH SrezWa ucyate	
265158	grIzmavarjyezu kAlezu divAsvapnAt prakupyataH	
265693	devEr apyApadaH prAptASCannESca bahuBistadA	
266505	divyaM sOganDikaM puzpaM yenAjEzIt sa pARqavaH	
266560	nedaM BIme pradAtavyam ayaM krudDo vfkodaraH	
267617	sa cEvopalaBedaSca nagaBid dfzad aSmajit	
26768	yad vA tapasi te nizWA sa eza madanugrahaH	
268044	vikarRaM SukabarhaM ca haritaM SIrRaromakam	
268154	kaPapittAsrajAn hanti grahaGnaH SIrzaroganut	
26867	hataH sugataSabdo'pi kalpakowiSatErapi	
268900	ayaM padArTo vyAvahArikanAmnAsmin deSe loke na prasidDaH	
269085	hutvA ca pradakziRamagnimanuparikrAmet	
269518	evaM vizaviDiH KyAtaH prayogaM ca vadAmyaham	
271346	kzamADanA vayaM krUrEr balAt tvaM nIyase SuBe	
271410	hiraRyakaSiporvaMSe jAto 'haM lokaviSrutaH	
272787	vikftyA yasya vA nIlO na sa rogAdvimucyate	
273135	sattvalakzaRasaMyogo BaktirvEdyadvijAtizu	
273176	yajYasidDipradAstABirhInaM cEva sa izwavAn	
273281	kaPapittAttrikagrAhI pfzWAdvAtakaPAtmakaH	
274636	te hi rAjYo DarmakarAH	
275381	iti SrIliNgamahApurARe uttaraBAge vizRumAhAtmyaM nAma dvitIyo 'DyAyaH	
276266	ye samarTA jagatyasmin sfzwisaMhArakAraRe	
276447	mayA cEzA na saMdehaH SradDAM jYAtumihAgataH	
276471	pakzadvAdaSakaM vApi dinadvAdaSakaM tu vA	
276849	BasmavratAS ca muRqAS ca vratino viSvarUpiRaH	
277045	mahatI devatA yA sA mahataScApi suvrata	
277270	tAsAM savarRAvedane pARir grAhyaH	
277360	BavantamavahadvizRurdevadevaM jagadgurum	
277849	kzitirvAyuH pumAnaMBaH suziraM sarvagaM taTA	
278439	na vijAnanti saMmUQA mAyayA tasya mohitAH	
278669	harivarzastftIyastu caturTo vE tvilAvftaH	
278978	vimalasvAdupAnIye nEkaprasravaREryute	
279226	nAnAjYAnArTasampannA durbalAScAlpaBoginaH	
279460	kulAlacakranABistu yaTA tatrEva vartate	
279729	ekarAtriM surAH sarve pitfBistvfziBiH saha	
279865	etacCrutvA tu munayaH punastaM saMSayAnvitAH	
27988	kfzRAjinopavItAkzAn biBrad daRqakamaRqalU	
280456	vasizWamAha viSvAtmA GfRayA sa GfRAniDiH	
280986	sahasrabAhuH sarvANgaH SaraRyaH sarvalokakft	
281060	agfhRAd vaMSakartAraM praBAgfhRAtsutAnbahUn	
281244	yacca kAmasuKaM loke yacca divyaM mahatsuKam	
281846	te sattvasya ca yogena sfzwAH sattvodBavAH smftAH	
282177	srazwavyA nAtmanastulyAH prajA deva namo'stu te	
282371	vizRuruvAca	
282811	aTa devo mahAdevaH sarvajYastadavEkzata	
282944	sAmarTyaM ca sadA mahyaM BavantaM voQumISvaram	
283476	praRavAdinamo'ntAni sarvavarRAni suvratAH	
284019	ete hiraRyavarRABA garuqA vizRuvAhanAH	
284022	kASyapo nAradaScEva daDIcaScyavanas taTA	
284222	brAhmaRAn BojayitvA ca SivaBaktAn sadA SucIn	
28431	vAse bahUnAM kalaho Baved vArttA dvayor api	
284554	sarvasidDikaraM puRyaM sarvarakzAkaraM Sivam	
284804	vyADyAgame SucirBUtvA juhuyAtsamiDAhutim	
284962	jyotizaM cAparA vidyA parAkzaramiti sTitam	
285146	jYAnavErAgyayuktasya yogasidDirdvijottamAH	
28521	AGAtaM nIyamAnasya vaDyasyeva na tuzwidaH	
285275	na jAyate na mriyate Cidyate na ca Bidyate	
28579	darSanasparSanaGrARaBojanaSravaRAdizu	
286390	tasyEvaM balinastveko hantA rudraH paraMtapaH	
286675	brahmacArI gfhasTaSca vAnaprasTo 'Ta BikzukaH	
286681	iti	
286717	garBADAnam ftO puMsaH savanaM spandanAt purA	
287221	iti	
287289	iti	
28793	parAyaRaM dvijaSrezWAH SriyaH kIrter damasya ca	
288567	jyotirmayo nirAkAro jagannATo jaleSvaraH	
289244	candrareKAvataMsAS ca nIlakaRWAs trilocanAH	
289481	samprApya tuzwuvuH sarve pitAmahapurogamAH	
289573	praRamyAhustu tatsarve haraye devasattamAH	
289861	lakzmIsamanvito vizRuraSfRodgAnamuttamam	
290475	annavinimaye viSezamAha gOtamaH	
291438	sUta uvAca	
29145	ijyADyayanadAnAni sarvezAM ca dvijanmanAm	
291793	samudrARAM ca sarvatra vyApI sarvamumApatiH	
292346	ete SUdrezu BojyAnnA yaScAtmAnaM nivedayet	
293263	tadvizRoH paramaM padam iti vA	
294380	haMsAkAreRa vE gAtraM hemABAsena suvratAH	
295098	brahmabrAhmaRavfdDAya brahmaRe viSvaveDase	
295279	viSvedevASca sADyASca paSavaH pakziRo mfgAH	
295472	SilodBavAnAM biMbAnAM citrABAsasya vA punaH	
295668	anayA saMhftiH SaMBor vidyayA munipuNgavAH	
29597	vrAtyAnAM yAjanaM kftvA parezAm antyakarma ca	
296013	drOpadyuvAca	
296126	janamejaya uvAca	
